wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;193;61;254;0.05;0.02;0.07;4;0;4;480;0;0;3720;310;3401;9;t00;2023-04-28
dolnoœl¹skie;9;4;13;0.03;0.01;0.04;0;0;0;16;0;0;186;15;171;0;t02;2023-04-28
kujawsko-pomorskie;6;1;7;0.03;0.00;0.03;0;0;0;36;0;0;221;8;213;0;t04;2023-04-28
lubelskie;22;3;25;0.10;0.01;0.12;0;0;0;44;0;0;367;27;340;0;t06;2023-04-28
lubuskie;2;3;5;0.02;0.03;0.05;2;0;2;5;0;0;79;6;73;0;t08;2023-04-28
³ódzkie;10;4;14;0.04;0.02;0.06;1;0;1;34;0;0;154;15;139;0;t10;2023-04-28
ma³opolskie;27;7;34;0.08;0.02;0.10;0;0;0;56;0;0;276;37;239;0;t12;2023-04-28
mazowieckie;33;7;40;0.06;0.01;0.07;1;0;1;58;0;0;646;53;590;3;t14;2023-04-28
opolskie;4;3;7;0.04;0.03;0.07;0;0;0;3;0;0;146;7;138;1;t16;2023-04-28
podkarpackie;12;2;14;0.06;0.01;0.07;0;0;0;27;0;0;133;15;118;0;t18;2023-04-28
podlaskie;13;0;13;0.11;0;0.11;0;0;0;34;0;0;119;14;105;0;t20;2023-04-28
pomorskie;10;4;14;0.04;0.02;0.06;0;0;0;13;0;0;195;15;180;0;t22;2023-04-28
œl¹skie;11;7;18;0.02;0.02;0.04;0;0;0;59;0;0;366;21;342;3;t24;2023-04-28
œwiêtokrzyskie;3;0;3;0.02;0;0.02;0;0;0;4;0;0;59;4;55;0;t26;2023-04-28
warmiñsko-mazurskie;7;6;13;0.05;0.04;0.09;0;0;0;22;0;0;212;19;192;1;t28;2023-04-28
wielkopolskie;10;3;13;0.03;0.01;0.04;0;0;0;18;0;0;141;14;127;0;t30;2023-04-28
zachodniopomorskie;7;5;12;0.04;0.03;0.07;0;0;0;47;0;0;193;19;173;1;t32;2023-04-28
