wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;3271;0.85;52;11;41;217;10769;173976;25174;3676;21019;479;t00
dolnoœl¹skie;156;0.54;0;0;0;21;570;11609;1593;174;1389;30;t02
kujawsko-pomorskie;201;0.97;3;0;3;51;898;12893;1144;219;900;25;t04
lubelskie;86;0.41;9;6;3;24;482;7363;787;117;658;12;t06
lubuskie;99;0.98;0;0;0;9;319;5035;719;110;596;13;t08
³ódzkie;98;0.40;2;0;2;6;720;10807;1097;123;949;25;t10
ma³opolskie;306;0.90;0;0;0;4;416;8796;1584;322;1219;43;t12
mazowieckie;475;0.88;11;0;11;26;1403;33462;5514;532;4895;87;t14
opolskie;125;1.27;0;0;0;5;250;4123;1014;136;867;11;t16
podkarpackie;83;0.39;4;2;2;2;252;5001;683;95;571;17;t18
podlaskie;69;0.59;0;0;0;2;328;4829;398;85;308;5;t20
pomorskie;468;1.99;1;0;1;23;966;15431;2845;508;2267;70;t22
œl¹skie;311;0.69;4;1;3;5;865;13161;2195;363;1789;43;t24
œwiêtokrzyskie;73;0.59;0;0;0;1;187;2382;853;88;745;20;t26
warmiñsko-mazurskie;108;0.76;0;0;0;6;849;9450;746;123;615;8;t28
wielkopolskie;224;0.64;17;2;15;25;1240;17419;1488;250;1213;25;t30
zachodniopomorskie;292;1.72;1;0;1;7;919;12197;1449;318;1100;31;t32
