wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;482;122;604;0.13;0.03;0.16;7;2;5;1604;0;0;7202;677;6512;13;t00;2022-12-15
dolnoœl¹skie;46;13;59;0.16;0.04;0.20;0;0;0;86;0;0;439;60;379;0;t02;2022-12-15
kujawsko-pomorskie;26;9;35;0.13;0.04;0.17;0;0;0;81;0;0;329;37;291;1;t04;2022-12-15
lubelskie;17;1;18;0.08;0.00;0.09;1;0;1;103;0;0;606;20;586;0;t06;2022-12-15
lubuskie;16;2;18;0.16;0.02;0.18;0;0;0;21;0;0;143;19;123;1;t08;2022-12-15
³ódzkie;34;5;39;0.14;0.02;0.16;0;0;0;94;0;0;379;45;333;1;t10;2022-12-15
ma³opolskie;38;8;46;0.11;0.02;0.13;0;0;0;135;0;0;506;50;456;0;t12;2022-12-15
mazowieckie;64;12;76;0.12;0.02;0.14;0;0;0;234;0;0;1298;90;1206;2;t14;2022-12-15
opolskie;11;4;15;0.11;0.04;0.15;0;0;0;35;0;0;253;20;233;0;t16;2022-12-15
podkarpackie;11;3;14;0.05;0.01;0.07;0;0;0;49;0;0;256;14;241;1;t18;2022-12-15
podlaskie;12;3;15;0.10;0.03;0.13;0;0;0;66;0;0;247;16;231;0;t20;2022-12-15
pomorskie;26;6;32;0.11;0.03;0.14;0;0;0;111;0;0;327;37;290;0;t22;2022-12-15
œl¹skie;55;26;81;0.12;0.06;0.18;1;0;1;226;0;0;642;85;555;2;t24;2022-12-15
œwiêtokrzyskie;22;6;28;0.18;0.05;0.23;0;0;0;64;0;0;290;32;256;2;t26;2022-12-15
warmiñsko-mazurskie;25;4;29;0.18;0.03;0.20;0;0;0;113;0;0;385;34;351;0;t28;2022-12-15
wielkopolskie;39;11;50;0.11;0.03;0.14;5;2;3;85;0;0;488;57;430;1;t30;2022-12-15
zachodniopomorskie;24;7;31;0.14;0.04;0.18;0;0;0;98;0;0;275;36;239;0;t32;2022-12-15
