wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;2539;655;3194;0.66;0.17;0.83;29;6;23;5038;0;0;13510;3417;10053;40;t00;2022-10-04
dolnoœl¹skie;152;55;207;0.52;0.19;0.71;0;0;0;262;0;0;706;214;486;6;t02;2022-10-04
kujawsko-pomorskie;145;39;184;0.70;0.19;0.89;1;0;1;340;0;0;778;190;583;5;t04;2022-10-04
lubelskie;174;44;218;0.83;0.21;1.04;1;0;1;350;0;0;1129;238;889;2;t06;2022-10-04
lubuskie;62;17;79;0.61;0.17;0.78;1;1;0;129;0;0;322;82;240;0;t08;2022-10-04
³ódzkie;162;35;197;0.66;0.14;0.80;0;0;0;412;0;0;680;206;470;4;t10;2022-10-04
ma³opolskie;208;46;254;0.61;0.13;0.74;7;2;5;419;0;0;885;267;615;3;t12;2022-10-04
mazowieckie;348;91;439;0.64;0.17;0.81;1;1;0;674;0;0;2140;478;1653;9;t14;2022-10-04
opolskie;59;14;73;0.60;0.14;0.74;0;0;0;100;0;0;378;81;296;1;t16;2022-10-04
podkarpackie;83;20;103;0.39;0.09;0.48;0;0;0;154;0;0;511;109;402;0;t18;2022-10-04
podlaskie;86;20;106;0.73;0.17;0.90;4;0;4;242;0;0;498;110;386;2;t20;2022-10-04
pomorskie;139;32;171;0.59;0.14;0.73;0;0;0;312;0;0;685;181;503;1;t22;2022-10-04
œl¹skie;337;90;427;0.75;0.20;0.95;4;1;3;682;0;0;1563;455;1108;0;t24;2022-10-04
œwiêtokrzyskie;89;17;106;0.72;0.14;0.86;1;0;1;195;0;0;471;116;355;0;t26;2022-10-04
warmiñsko-mazurskie;103;23;126;0.73;0.16;0.89;1;0;1;196;0;0;689;144;544;1;t28;2022-10-04
wielkopolskie;238;79;317;0.68;0.23;0.91;5;0;5;363;0;0;1055;336;717;2;t30;2022-10-04
zachodniopomorskie;122;28;150;0.72;0.17;0.89;3;1;2;207;0;0;459;156;299;4;t32;2022-10-04
