wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;98;0.03;23;7;16;1775;187;78577;39535;158;39282;95;t00;2021-06-30
dolnoœl¹skie;9;0.03;1;1;0;115;25;6947;2655;16;2637;2;t02;2021-06-30
kujawsko-pomorskie;8;0.04;3;1;2;100;7;2324;1683;11;1666;6;t04;2021-06-30
lubelskie;3;0.01;2;0;2;94;13;3349;1851;5;1840;6;t06;2021-06-30
lubuskie;3;0.03;0;0;0;53;3;1806;940;3;935;2;t08;2021-06-30
³ódzkie;6;0.02;2;0;2;240;17;6418;2781;14;2757;10;t10;2021-06-30
ma³opolskie;8;0.02;1;0;1;126;10;5511;2796;8;2782;6;t12;2021-06-30
mazowieckie;10;0.02;2;2;0;233;25;21811;5989;18;5946;25;t14;2021-06-30
opolskie;2;0.02;1;0;1;25;6;1820;950;3;945;2;t16;2021-06-30
podkarpackie;3;0.01;0;0;0;75;9;2665;1922;13;1909;0;t18;2021-06-30
podlaskie;1;0.01;1;0;1;24;4;1511;944;2;940;2;t20;2021-06-30
pomorskie;4;0.02;1;0;1;122;8;4878;2471;4;2465;2;t22;2021-06-30
œl¹skie;15;0.03;2;1;1;186;19;6854;4553;25;4516;12;t24;2021-06-30
œwiêtokrzyskie;4;0.03;2;1;1;38;10;2069;1117;6;1110;1;t26;2021-06-30
warmiñsko-mazurskie;3;0.02;2;1;1;63;12;1516;1298;4;1291;3;t28;2021-06-30
wielkopolskie;10;0.03;2;0;2;149;13;6482;2683;16;2656;11;t30;2021-06-30
zachodniopomorskie;6;0.04;1;0;1;130;6;2567;1550;7;1539;4;t32;2021-06-30
