wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;168;0.04;41;15;26;2373;419;64252;51920;263;51514;143;t00;2021-06-18
dolnoœl¹skie;10;0.03;5;4;1;190;49;4284;4349;15;4323;11;t02;2021-06-18
kujawsko-pomorskie;2;0.01;1;0;1;98;15;1439;2071;4;2059;8;t04;2021-06-18
lubelskie;23;0.11;0;0;0;116;39;5653;2162;25;2130;7;t06;2021-06-18
lubuskie;2;0.02;0;0;0;49;8;1215;1248;2;1242;4;t08;2021-06-18
³ódzkie;8;0.03;1;0;1;359;44;5131;3581;30;3532;19;t10;2021-06-18
ma³opolskie;11;0.03;3;3;0;188;31;3149;4224;17;4192;15;t12;2021-06-18
mazowieckie;24;0.04;3;0;3;389;50;24291;7887;42;7814;31;t14;2021-06-18
opolskie;6;0.06;1;0;1;41;12;1220;994;12;978;4;t16;2021-06-18
podkarpackie;5;0.02;6;1;5;67;11;1455;2275;9;2265;1;t18;2021-06-18
podlaskie;9;0.08;0;0;0;54;16;775;1072;10;1060;2;t20;2021-06-18
pomorskie;5;0.02;6;0;6;130;20;2958;3417;6;3404;7;t22;2021-06-18
œl¹skie;19;0.04;5;1;4;240;40;3639;5726;33;5683;10;t24;2021-06-18
œwiêtokrzyskie;8;0.07;0;0;0;66;13;2155;1296;10;1280;6;t26;2021-06-18
warmiñsko-mazurskie;3;0.02;1;1;0;57;8;936;1408;8;1400;0;t28;2021-06-18
wielkopolskie;18;0.05;6;5;1;228;46;4135;3614;21;3584;9;t30;2021-06-18
zachodniopomorskie;11;0.06;3;0;3;98;13;1791;1862;15;1840;7;t32;2021-06-18
