wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;2543;0.66;25;5;20;175;5713;128654;22556;2932;19298;326;t00;2021-02-14
dolnoœl¹skie;167;0.58;1;0;1;5;371;6696;1098;174;916;8;t02;2021-02-14
kujawsko-pomorskie;197;0.95;0;0;0;36;459;8922;1426;238;1168;20;t04;2021-02-14
lubelskie;61;0.29;3;1;2;10;308;5419;896;82;807;7;t06;2021-02-14
lubuskie;77;0.76;0;0;0;4;175;4349;621;105;511;5;t08;2021-02-14
³ódzkie;74;0.30;0;0;0;12;310;7339;1206;85;1102;19;t10;2021-02-14
ma³opolskie;115;0.34;3;1;2;1;273;6144;1520;131;1358;31;t12;2021-02-14
mazowieckie;473;0.87;0;0;0;30;959;25527;3271;524;2688;59;t14;2021-02-14
opolskie;40;0.41;0;0;0;5;101;2124;573;51;521;1;t16;2021-02-14
podkarpackie;211;0.99;2;0;2;3;221;5461;1279;227;1040;12;t18;2021-02-14
podlaskie;59;0.50;0;0;0;2;219;4371;434;69;362;3;t20;2021-02-14
pomorskie;344;1.47;2;0;2;19;547;12610;2288;367;1871;50;t22;2021-02-14
œl¹skie;146;0.32;2;0;2;3;485;9188;2026;176;1827;23;t24;2021-02-14
œwiêtokrzyskie;59;0.48;2;2;0;2;96;1904;763;70;672;21;t26;2021-02-14
warmiñsko-mazurskie;140;0.99;0;0;0;12;398;9673;751;153;591;7;t28;2021-02-14
wielkopolskie;157;0.45;8;1;7;24;417;11917;1717;216;1471;30;t30;2021-02-14
zachodniopomorskie;111;0.66;2;0;2;7;316;7003;1035;136;877;22;t32;2021-02-14
