wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1230;0.32;135;30;105;5092;2026;79008;63914;1730;61864;320;t00;2021-05-26
dolnoœl¹skie;98;0.34;19;8;11;438;157;6328;4731;150;4549;32;t02;2021-05-26
kujawsko-pomorskie;55;0.27;4;0;4;275;121;2890;2807;73;2725;9;t04;2021-05-26
lubelskie;100;0.48;4;0;4;277;152;4006;3093;128;2952;13;t06;2021-05-26
lubuskie;35;0.35;1;0;1;138;32;1851;1725;49;1668;8;t08;2021-05-26
³ódzkie;106;0.43;9;0;9;468;180;6395;4642;145;4463;34;t10;2021-05-26
ma³opolskie;85;0.25;6;3;3;333;149;5407;4743;140;4573;30;t12;2021-05-26
mazowieckie;152;0.28;23;1;22;671;265;18486;9847;231;9562;54;t14;2021-05-26
opolskie;47;0.48;3;1;2;116;60;2279;1527;60;1463;4;t16;2021-05-26
podkarpackie;25;0.12;6;0;6;243;46;1959;2918;38;2872;8;t18;2021-05-26
podlaskie;32;0.27;2;0;2;118;44;1465;1427;41;1379;7;t20;2021-05-26
pomorskie;70;0.30;6;0;6;331;108;5188;4043;98;3924;21;t22;2021-05-26
œl¹skie;133;0.30;16;4;12;565;267;7163;7086;197;6849;40;t24;2021-05-26
œwiêtokrzyskie;30;0.24;9;2;7;119;56;1583;1931;46;1877;8;t26;2021-05-26
warmiñsko-mazurskie;37;0.26;5;2;3;173;78;1880;2013;52;1959;2;t28;2021-05-26
wielkopolskie;130;0.37;16;9;7;506;184;8336;4959;165;4767;27;t30;2021-05-26
zachodniopomorskie;74;0.44;6;0;6;311;123;3763;2795;94;2682;19;t32;2021-05-26
