wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;14838;3.87;620;109;511;18901;282408;64452;15979;46709;1764;t00;2020-12-02
dolnośląskie;845;2.92;41;4;37;1283;21305;3498;916;2463;119;t02;2020-12-02
kujawsko-pomorskie;1352;6.53;27;2;25;1556;20222;11899;1443;10272;184;t04;2020-12-02
lubelskie;794;3.77;44;6;38;944;15672;2851;894;1879;78;t06;2020-12-02
lubuskie;359;3.55;12;4;8;558;8775;1410;398;962;50;t08;2020-12-02
łódzkie;892;3.64;41;6;35;1208;17510;3646;987;2552;107;t10;2020-12-02
małopolskie;645;1.89;50;27;23;885;14401;4591;786;3716;89;t12;2020-12-02
mazowieckie;1794;3.31;75;6;69;2903;40228;7767;1931;5528;308;t14;2020-12-02
opolskie;467;4.76;27;5;22;470;8356;1440;514;892;34;t16;2020-12-02
podkarpackie;415;1.95;29;9;20;481;9569;1873;442;1410;21;t18;2020-12-02
podlaskie;356;3.03;26;0;26;514;7863;1187;377;788;22;t20;2020-12-02
pomorskie;1237;5.27;25;11;14;1418;20622;4621;1296;3144;181;t22;2020-12-02
śląskie;1529;3.39;71;7;64;1921;27641;5921;1648;4114;159;t24;2020-12-02
świętokrzyskie;355;2.89;16;3;13;301;5950;1461;383;1000;78;t26;2020-12-02
warmińsko-mazurskie;1057;7.44;49;7;42;1263;16772;2865;1096;1672;97;t28;2020-12-02
wielkopolskie;1760;5.03;61;12;49;1979;32033;5785;1835;3826;124;t30;2020-12-02
zachodniopomorskie;945;5.58;26;0;26;1217;15488;3194;988;2113;93;t32;2020-12-02
