wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;68;36;104;0.02;0.01;0.03;0;0;0;166;0;0;689;106;583;0;t00;2024-06-24
dolnoœl¹skie;5;4;9;0.02;0.01;0.03;0;0;0;11;0;0;22;9;13;0;t02;2024-06-24
kujawsko-pomorskie;6;3;9;0.03;0.01;0.04;0;0;0;10;0;0;46;10;36;0;t04;2024-06-24
lubelskie;7;1;8;0.03;0.00;0.04;0;0;0;11;0;0;18;8;10;0;t06;2024-06-24
lubuskie;2;1;3;0.02;0.01;0.03;0;0;0;2;0;0;7;4;3;0;t08;2024-06-24
³ódzkie;3;0;3;0.01;0;0.01;0;0;0;10;0;0;12;3;9;0;t10;2024-06-24
ma³opolskie;6;3;9;0.02;0.01;0.03;0;0;0;14;0;0;21;9;12;0;t12;2024-06-24
mazowieckie;9;3;12;0.02;0.01;0.02;0;0;0;15;0;0;328;12;316;0;t14;2024-06-24
opolskie;4;1;5;0.04;0.01;0.05;0;0;0;2;0;0;27;5;22;0;t16;2024-06-24
podkarpackie;1;2;3;0.00;0.01;0.01;0;0;0;10;0;0;16;3;13;0;t18;2024-06-24
podlaskie;5;4;9;0.04;0.03;0.08;0;0;0;16;0;0;27;9;18;0;t20;2024-06-24
pomorskie;4;1;5;0.02;0.00;0.02;0;0;0;16;0;0;26;5;21;0;t22;2024-06-24
œl¹skie;4;3;7;0.01;0.01;0.02;0;0;0;25;0;0;46;7;39;0;t24;2024-06-24
œwiêtokrzyskie;2;3;5;0.02;0.02;0.04;0;0;0;4;0;0;8;5;3;0;t26;2024-06-24
warmiñsko-mazurskie;2;1;3;0.01;0.01;0.02;0;0;0;7;0;0;10;3;7;0;t28;2024-06-24
wielkopolskie;6;3;9;0.02;0.01;0.03;0;0;0;7;0;0;35;9;26;0;t30;2024-06-24
zachodniopomorskie;2;3;5;0.01;0.02;0.03;0;0;0;6;0;0;16;5;11;0;t32;2024-06-24
