wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;9843;2.57;549;186;363;36441;16795;250422;88433;11380;76200;853;t00;2021-12-27
dolnoœl¹skie;727;2.51;59;41;18;2644;1528;19891;5917;926;4929;62;t02;2021-12-27
kujawsko-pomorskie;668;3.23;55;6;49;2180;805;12930;5129;736;4335;58;t04;2021-12-27
lubelskie;489;2.32;20;5;15;1737;337;7951;4778;557;4207;14;t06;2021-12-27
lubuskie;207;2.05;7;7;0;1075;672;7893;2069;264;1788;17;t08;2021-12-27
³ódzkie;783;3.20;65;33;32;2271;847;15501;6650;877;5710;63;t10;2021-12-27
ma³opolskie;783;2.29;96;35;61;3044;1804;21465;7069;881;6109;79;t12;2021-12-27
mazowieckie;1392;2.56;42;10;32;4582;2179;37991;13267;1602;11520;145;t14;2021-12-27
opolskie;233;2.38;28;3;25;1159;703;8583;2089;272;1802;15;t16;2021-12-27
podkarpackie;384;1.81;7;0;7;1357;441;10042;4488;440;4028;20;t18;2021-12-27
podlaskie;171;1.45;13;0;13;867;200;4135;2074;192;1873;9;t20;2021-12-27
pomorskie;749;3.19;13;2;11;2264;1215;17845;5543;829;4633;81;t22;2021-12-27
œl¹skie;1054;2.34;70;19;51;4889;2524;29051;9040;1253;7677;110;t24;2021-12-27
œwiêtokrzyskie;234;1.90;12;4;8;913;378;5842;2152;268;1859;25;t26;2021-12-27
warmiñsko-mazurskie;396;2.79;20;11;9;1525;497;8608;3292;459;2810;23;t28;2021-12-27
wielkopolskie;891;2.55;33;10;23;3879;1770;29425;6564;1029;5464;71;t30;2021-12-27
zachodniopomorskie;592;3.50;9;0;9;1996;837;13188;4661;694;3914;53;t32;2021-12-27
