wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1538;690;2228;0.40;0.18;0.58;3;2;1;1886;0;0;3849;2279;1566;4;t00;2024-09-02
dolnoœl¹skie;82;37;119;0.28;0.13;0.41;1;1;0;73;0;0;196;122;74;0;t02;2024-09-02
kujawsko-pomorskie;127;59;186;0.61;0.29;0.90;0;0;0;177;0;0;325;191;132;2;t04;2024-09-02
lubelskie;173;69;242;0.82;0.33;1.15;0;0;0;239;0;0;320;243;77;0;t06;2024-09-02
lubuskie;20;12;32;0.20;0.12;0.32;0;0;0;16;0;0;53;32;21;0;t08;2024-09-02
³ódzkie;59;28;87;0.24;0.11;0.36;0;0;0;81;0;0;130;89;41;0;t10;2024-09-02
ma³opolskie;105;37;142;0.31;0.11;0.42;0;0;0;129;0;0;240;143;97;0;t12;2024-09-02
mazowieckie;307;131;438;0.57;0.24;0.81;0;0;0;309;0;0;901;452;449;0;t14;2024-09-02
opolskie;14;12;26;0.14;0.12;0.27;0;0;0;22;0;0;65;26;39;0;t16;2024-09-02
podkarpackie;111;29;140;0.52;0.14;0.66;0;0;0;114;0;0;207;143;64;0;t18;2024-09-02
podlaskie;94;43;137;0.80;0.37;1.16;0;0;0;118;0;0;200;138;62;0;t20;2024-09-02
pomorskie;69;28;97;0.29;0.12;0.41;0;0;0;96;0;0;178;102;76;0;t22;2024-09-02
œl¹skie;84;41;125;0.19;0.09;0.28;1;1;0;155;0;0;269;125;144;0;t24;2024-09-02
œwiêtokrzyskie;49;26;75;0.40;0.21;0.61;0;0;0;60;0;0;96;76;18;2;t26;2024-09-02
warmiñsko-mazurskie;62;37;99;0.44;0.26;0.70;0;0;0;83;0;0;179;103;76;0;t28;2024-09-02
wielkopolskie;123;67;190;0.35;0.19;0.54;1;0;1;133;0;0;264;192;72;0;t30;2024-09-02
zachodniopomorskie;46;31;77;0.27;0.18;0.45;0;0;0;76;0;0;142;77;65;0;t32;2024-09-02
