wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;13230;3.45;531;110;421;17727;285534;56872;14757;40530;1585;t00;2020-12-03
dolnośląskie;828;2.86;42;6;36;1203;21559;4303;895;3316;92;t02;2020-12-03
kujawsko-pomorskie;1080;5.22;12;6;6;1578;20760;4551;1147;3236;168;t04;2020-12-03
lubelskie;716;3.4;34;9;25;962;15822;2480;797;1618;65;t06;2020-12-03
lubuskie;485;4.8;15;1;14;482;8927;1615;552;1035;28;t08;2020-12-03
łódzkie;918;3.75;48;13;35;1160;17827;3906;1018;2760;128;t10;2020-12-03
małopolskie;600;1.76;41;17;24;831;14283;4884;783;4009;92;t12;2020-12-03
mazowieckie;1649;3.04;85;9;76;2653;40986;9037;1927;6722;388;t14;2020-12-03
opolskie;448;4.57;14;2;12;424;8202;1346;486;833;27;t16;2020-12-03
podkarpackie;322;1.51;29;7;22;466;9567;1779;411;1354;14;t18;2020-12-03
podlaskie;373;3.17;11;1;10;478;7842;1281;426;834;21;t20;2020-12-03
pomorskie;818;3.49;20;6;14;1272;20863;3720;879;2685;156;t22;2020-12-03
śląskie;1346;2.99;66;2;64;1823;27764;5945;1496;4321;128;t24;2020-12-03
świętokrzyskie;252;2.05;19;4;15;275;5766;1309;319;934;56;t26;2020-12-03
warmińsko-mazurskie;969;6.82;27;7;20;1128;17279;2801;1013;1728;60;t28;2020-12-03
wielkopolskie;1381;3.95;40;19;21;1785;32223;4565;1484;2994;87;t30;2020-12-03
zachodniopomorskie;998;5.89;28;1;27;1207;15863;2936;1071;1810;55;t32;2020-12-03
