wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;7785;2.03;19;5;14;552;12932;140355;54783;8997;45089;697;t00;2022-01-09
dolnoœl¹skie;671;2.31;0;0;0;24;1200;10677;3271;767;2460;44;t02;2022-01-09
kujawsko-pomorskie;275;1.33;3;0;3;50;572;6255;2297;332;1920;45;t04;2022-01-09
lubelskie;256;1.22;0;0;0;31;513;5508;2337;283;2044;10;t06;2022-01-09
lubuskie;169;1.67;0;0;0;5;364;4029;1160;191;956;13;t08;2022-01-09
³ódzkie;421;1.72;0;0;0;49;757;8114;3030;493;2500;37;t10;2022-01-09
ma³opolskie;1038;3.04;1;0;1;54;1409;15434;6144;1210;4871;63;t12;2022-01-09
mazowieckie;1513;2.79;4;2;2;73;1921;23823;10033;1745;8141;147;t14;2022-01-09
opolskie;250;2.55;0;0;0;9;415;4090;1217;286;917;14;t16;2022-01-09
podkarpackie;349;1.64;0;0;0;10;523;7135;3006;404;2585;17;t18;2022-01-09
podlaskie;55;0.47;0;0;0;14;158;2440;906;71;831;4;t20;2022-01-09
pomorskie;563;2.40;10;3;7;28;782;9844;3930;646;3209;75;t22;2022-01-09
œl¹skie;945;2.10;0;0;0;41;1444;15271;6714;1119;5478;117;t24;2022-01-09
œwiêtokrzyskie;174;1.41;0;0;0;6;384;3310;1496;205;1277;14;t26;2022-01-09
warmiñsko-mazurskie;194;1.37;0;0;0;9;430;4247;1328;215;1100;13;t28;2022-01-09
wielkopolskie;548;1.57;0;0;0;51;1229;13318;3850;611;3204;35;t30;2022-01-09
zachodniopomorskie;300;1.77;1;0;1;98;772;6820;2358;348;1970;40;t32;2022-01-09
