wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;7412;1.93;369;69;300;11188;11819;187925;69348;8468;59651;1229;t00
dolnoœl¹skie;378;1.30;9;3;6;674;752;12439;5196;419;4687;90;t02
kujawsko-pomorskie;653;3.16;33;4;29;1022;1086;14731;4011;770;3175;66;t04
lubelskie;358;1.70;27;3;24;512;362;7991;3301;409;2851;41;t06
lubuskie;178;1.76;24;16;8;315;453;5499;2114;247;1851;16;t08
³ódzkie;416;1.70;34;5;29;666;627;11586;4388;452;3850;86;t10
ma³opolskie;293;0.86;14;5;9;498;412;8811;4255;316;3885;54;t12
mazowieckie;1040;1.92;43;7;36;1859;1532;34781;11484;1217;9953;314;t14
opolskie;222;2.26;3;0;3;212;324;4363;1506;241;1234;31;t16
podkarpackie;194;0.91;15;0;15;251;284;5245;2656;213;2418;25;t18
podlaskie;210;1.78;4;0;4;334;312;5437;1563;230;1326;7;t20
pomorskie;741;3.16;24;4;20;955;1244;16905;5190;803;4217;170;t22
œl¹skie;608;1.35;33;2;31;994;797;14297;7365;673;6611;81;t24
œwiêtokrzyskie;120;0.98;2;0;2;193;148;2725;2398;149;2213;36;t26
warmiñsko-mazurskie;547;3.85;28;5;23;669;647;10638;2970;576;2366;28;t28
wielkopolskie;696;1.99;45;15;30;1166;1539;19207;5779;778;4911;90;t30
zachodniopomorskie;629;3.71;31;0;31;865;1221;13242;3184;818;2288;78;t32
