wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;8790;2.29;332;60;272;22077;12785;168479;50177;10179;38942;1056;t00
dolnoœl¹skie;461;1.59;13;6;7;1225;668;10564;3276;509;2720;47;t02
kujawsko-pomorskie;1034;5.00;39;5;34;2039;1093;14435;4469;1210;3128;131;t04
lubelskie;403;1.92;30;7;23;1073;579;7154;2280;480;1772;28;t06
lubuskie;233;2.31;11;6;5;606;436;5050;1416;299;1097;20;t08
³ódzkie;546;2.23;50;4;46;1444;838;10556;3357;657;2626;74;t10
ma³opolskie;352;1.03;10;3;7;862;498;7875;2772;399;2314;59;t12
mazowieckie;1216;2.24;29;7;22;3208;1652;28163;6853;1407;5181;265;t14
opolskie;96;0.98;9;2;7;427;239;3418;827;120;700;7;t16
podkarpackie;490;2.30;8;1;7;518;265;4509;2338;539;1785;14;t18
podlaskie;293;2.49;6;2;4;616;389;4555;1229;314;892;23;t20
pomorskie;987;4.21;28;8;20;1793;1055;14759;4229;1052;3041;136;t22
œl¹skie;548;1.22;25;1;24;2028;1270;13437;4186;614;3525;47;t24
œwiêtokrzyskie;89;0.72;3;0;3;325;182;2574;1066;133;908;25;t26
warmiñsko-mazurskie;486;3.42;26;3;23;1523;1039;10499;2067;518;1535;14;t28
wielkopolskie;774;2.21;30;5;25;2626;1462;18029;4259;958;3241;60;t30
zachodniopomorskie;554;3.27;15;0;15;1754;949;12879;2138;710;1377;51;t32
