wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;178;76;254;0.05;0.02;0.07;0;0;0;1584;0;0;3811;263;3546;2;t00;2024-12-30
dolnoœl¹skie;5;1;6;0.02;0.00;0.02;0;0;0;54;0;0;159;6;153;0;t02;2024-12-30
kujawsko-pomorskie;12;4;16;0.06;0.02;0.08;0;0;0;167;0;0;303;16;287;0;t04;2024-12-30
lubelskie;18;9;27;0.09;0.04;0.13;0;0;0;116;0;0;234;31;203;0;t06;2024-12-30
lubuskie;1;3;4;0.01;0.03;0.04;0;0;0;11;0;0;43;4;39;0;t08;2024-12-30
³ódzkie;4;2;6;0.02;0.01;0.02;0;0;0;102;0;0;173;7;166;0;t10;2024-12-30
ma³opolskie;13;5;18;0.04;0.01;0.05;0;0;0;198;0;0;324;19;304;1;t12;2024-12-30
mazowieckie;22;12;34;0.04;0.02;0.06;0;0;0;180;0;0;866;34;831;1;t14;2024-12-30
opolskie;5;5;10;0.05;0.05;0.10;0;0;0;20;0;0;73;10;63;0;t16;2024-12-30
podkarpackie;9;5;14;0.04;0.02;0.07;0;0;0;164;0;0;296;14;282;0;t18;2024-12-30
podlaskie;21;10;31;0.18;0.08;0.26;0;0;0;156;0;0;208;32;176;0;t20;2024-12-30
pomorskie;5;2;7;0.02;0.01;0.03;0;0;0;60;0;0;178;7;171;0;t22;2024-12-30
œl¹skie;22;11;33;0.05;0.02;0.07;0;0;0;234;0;0;475;34;441;0;t24;2024-12-30
œwiêtokrzyskie;8;0;8;0.07;0;0.07;0;0;0;28;0;0;57;8;49;0;t26;2024-12-30
warmiñsko-mazurskie;7;2;9;0.05;0.01;0.06;0;0;0;27;0;0;68;9;59;0;t28;2024-12-30
wielkopolskie;14;2;16;0.04;0.01;0.05;0;0;0;36;0;0;206;17;189;0;t30;2024-12-30
zachodniopomorskie;8;2;10;0.05;0.01;0.06;0;0;0;24;0;0;58;10;48;0;t32;2024-12-30
