wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;11379;2.97;29;1;28;751;25983;566736;50202;12534;36754;914;t00;2021-12-12
dolnoœl¹skie;1188;4.10;0;0;0;23;2235;46603;3905;1265;2585;55;t02;2021-12-12
kujawsko-pomorskie;495;2.39;5;0;5;62;1452;30197;2277;567;1676;34;t04;2021-12-12
lubelskie;241;1.15;0;0;0;50;1046;17079;1859;273;1570;16;t06;2021-12-12
lubuskie;354;3.50;0;0;0;10;702;19933;1379;372;982;25;t08;2021-12-12
³ódzkie;702;2.87;0;0;0;33;1557;33359;3134;779;2336;19;t10;2021-12-12
ma³opolskie;922;2.70;5;1;4;52;2394;48497;4800;1073;3580;147;t12;2021-12-12
mazowieckie;1876;3.46;6;0;6;121;4229;85664;8277;2067;6074;136;t14;2021-12-12
opolskie;475;4.84;0;0;0;10;833;18957;1476;514;936;26;t16;2021-12-12
podkarpackie;305;1.43;1;0;1;30;925;20619;1975;345;1610;20;t18;2021-12-12
podlaskie;112;0.95;1;0;1;11;485;8898;790;123;658;9;t20;2021-12-12
pomorskie;820;3.49;9;0;9;33;1456;39409;3485;883;2565;37;t22;2021-12-12
œl¹skie;1432;3.18;0;0;0;64;3300;68031;5739;1567;3992;180;t24;2021-12-12
œwiêtokrzyskie;280;2.28;0;0;0;5;645;12942;1473;321;1114;38;t26;2021-12-12
warmiñsko-mazurskie;326;2.29;2;0;2;6;886;22104;1347;387;952;8;t28;2021-12-12
wielkopolskie;1085;3.10;0;0;0;55;2402;65158;4068;1161;2805;102;t30;2021-12-12
zachodniopomorskie;636;3.76;0;0;0;185;1341;29234;2556;697;1809;50;t32;2021-12-12
