wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;831;133;964;0.22;0.03;0.25;3;1;2;959;6;0;5361;1026;4323;12;t00;2022-07-05
dolnoœl¹skie;72;13;85;0.25;0.04;0.29;0;0;0;73;0;0;250;87;162;1;t02;2022-07-05
kujawsko-pomorskie;41;4;45;0.20;0.02;0.22;0;0;0;56;0;0;186;51;134;1;t04;2022-07-05
lubelskie;21;5;26;0.10;0.02;0.12;2;1;1;47;0;0;375;27;348;0;t06;2022-07-05
lubuskie;20;2;22;0.20;0.02;0.22;0;0;0;15;0;0;80;23;57;0;t08;2022-07-05
³ódzkie;35;3;38;0.14;0.01;0.16;0;0;0;59;0;0;231;43;188;0;t10;2022-07-05
ma³opolskie;93;5;98;0.27;0.01;0.29;0;0;0;106;2;0;445;105;339;1;t12;2022-07-05
mazowieckie;166;22;188;0.31;0.04;0.35;0;0;0;162;1;0;1172;200;970;2;t14;2022-07-05
opolskie;16;6;22;0.16;0.06;0.22;0;0;0;28;0;0;169;23;146;0;t16;2022-07-05
podkarpackie;25;3;28;0.12;0.01;0.13;0;0;0;23;1;0;200;28;171;1;t18;2022-07-05
podlaskie;25;11;36;0.21;0.09;0.31;1;0;1;47;1;0;147;36;111;0;t20;2022-07-05
pomorskie;75;9;84;0.32;0.04;0.36;0;0;0;69;0;0;259;89;169;1;t22;2022-07-05
œl¹skie;92;26;118;0.20;0.06;0.26;0;0;0;142;0;0;483;121;359;3;t24;2022-07-05
œwiêtokrzyskie;18;5;23;0.15;0.04;0.19;0;0;0;36;0;0;247;26;221;0;t26;2022-07-05
warmiñsko-mazurskie;23;7;30;0.16;0.05;0.21;0;0;0;25;0;0;314;33;281;0;t28;2022-07-05
wielkopolskie;50;8;58;0.14;0.02;0.17;0;0;0;39;0;0;241;64;177;0;t30;2022-07-05
zachodniopomorskie;31;4;35;0.18;0.02;0.21;0;0;0;32;1;0;177;39;138;0;t32;2022-07-05
