wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;30546;7.96;497;145;352;37498;29715;478914;101437;32288;67322;1827;t00;2021-04-01
dolnoœl¹skie;3074;10.61;41;25;16;3127;2175;40164;9099;3243;5669;187;t02;2021-04-01
kujawsko-pomorskie;1595;7.71;33;8;25;2115;1456;22439;5059;1645;3304;110;t04;2021-04-01
lubelskie;1135;5.40;18;1;17;1779;1019;17362;3999;1203;2745;51;t06;2021-04-01
lubuskie;759;7.51;27;16;11;916;731;12751;2640;815;1789;36;t08;2021-04-01
³ódzkie;1879;7.67;30;6;24;2453;1884;28084;6360;2009;4295;56;t10;2021-04-01
ma³opolskie;2628;7.70;39;22;17;2927;2660;41283;7595;2782;4634;179;t12;2021-04-01
mazowieckie;4464;8.22;65;20;45;5019;4881;80196;16432;4772;11313;347;t14;2021-04-01
opolskie;711;7.25;10;0;10;788;553;9586;2394;762;1601;31;t16;2021-04-01
podkarpackie;1284;6.04;50;6;44;1568;1511;24346;4217;1367;2808;42;t18;2021-04-01
podlaskie;447;3.80;9;1;8;787;624;8314;1859;475;1362;22;t20;2021-04-01
pomorskie;1335;5.69;29;1;28;1914;1646;30476;6089;1410;4557;122;t22;2021-04-01
œl¹skie;4713;10.45;58;11;47;6025;4457;67568;12200;4937;7010;253;t24;2021-04-01
œwiêtokrzyskie;864;7.02;13;0;13;1076;764;12776;2830;940;1751;139;t26;2021-04-01
warmiñsko-mazurskie;662;4.66;18;1;17;1255;1063;14364;2551;706;1810;35;t28;2021-04-01
wielkopolskie;3414;9.75;44;26;18;4279;3143;52468;9480;3522;5834;124;t30;2021-04-01
zachodniopomorskie;1184;6.99;13;1;12;1444;928;16659;3813;1276;2474;63;t32;2021-04-01
