wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;22097;5.76;592;177;415;34762;20914;599888;103928;23902;78608;1418;t00;2021-12-15
dolnoœl¹skie;2007;6.92;59;27;32;2678;1836;48417;8133;2172;5868;93;t02;2021-12-15
kujawsko-pomorskie;1274;6.16;37;4;33;2058;1311;31421;5456;1349;4032;75;t04;2021-12-15
lubelskie;685;3.26;34;2;32;1479;909;18688;4905;736;4118;51;t06;2021-12-15
lubuskie;786;7.78;12;6;6;1104;602;20640;2827;845;1920;62;t08;2021-12-15
³ódzkie;1497;6.11;42;15;27;2183;1525;34818;7358;1683;5622;53;t10;2021-12-15
ma³opolskie;1737;5.09;50;27;23;3051;1586;52193;7934;1858;5900;176;t12;2021-12-15
mazowieckie;2810;5.18;89;50;39;4350;3027;89780;15073;3087;11782;204;t14;2021-12-15
opolskie;939;9.57;22;4;18;992;489;20369;2908;1007;1830;71;t16;2021-12-15
podkarpackie;823;3.87;30;5;25;1222;815;21875;4872;918;3933;21;t18;2021-12-15
podlaskie;277;2.35;25;2;23;682;332;8910;2073;297;1757;19;t20;2021-12-15
pomorskie;1380;5.88;25;1;24;2284;1340;41387;6566;1462;5027;77;t22;2021-12-15
œl¹skie;2901;6.44;67;14;53;4911;2463;72574;12397;3123;9065;209;t24;2021-12-15
œwiêtokrzyskie;533;4.33;13;0;13;834;498;13562;2682;600;2040;42;t26;2021-12-15
warmiñsko-mazurskie;998;7.03;24;9;15;1380;1009;24565;4205;1068;3093;44;t28;2021-12-15
wielkopolskie;1995;5.70;44;10;34;3556;1991;71194;8224;2110;5994;120;t30;2021-12-15
zachodniopomorskie;1295;7.65;19;1;18;1959;1096;29386;5399;1408;3901;90;t32;2021-12-15
